severity,category,workflow,surface_or_job,id,title,affects,what_i_did,what_i_saw,evidence,why_it_matters,suggestion
P1,layout,B-matrix,responsive,subtab-strip-panel-misalignment,"The universal subtab strip (invariant #18, ooSubtabs) drifts out of horizontal alignment with the capped content panel beneath it on every tabbed surface once viewport exceeds about 1120px","every surface using ooSubtabs (confirmed on Analyze and Settings; the same CSS applies to Insights, Governments, Library, Home families, the task-manager window per invariant #18's adopter list) - widths 1280 and above; sharpest at 1680-2560","Measured #an-subtabs (Analyze's subtab nav) bounding box directly via page.evaluate at 1440 and 1680px, and compared it against the mainChildRect (the actual content panel box) measured the same way; cross-checked visually against Settings screenshots at 1280/2560.","The subtab strip lives in .subtab-strip, which sits in the sticky main-col chrome OUTSIDE <main> and gets width:100% of the main-col (CSS: '.subtab-strip > nav.tabs { ... width:100%; }', app.css:262) - so it is NOT subject to the 'main > * {max-width:1100px}' rule that caps and centers the panel below it. Measured on Analyze: at 1680px the nav spans x=268 to x=1662 (1394px wide) while the content panel (mainChildRect) spans x=415 to x=1515 (1100px, capped+centered) - the tab row starts 147px to the LEFT of the panel it labels and ends 147px to its right. On Settings at 2560px the same pattern is visually obvious: the subtab row (Graphics/General/Cards/AI/...) starts at the main-col's own left edge (~x=210) while the 'Appearance' panel it controls starts ~470px further right (~x=680).","direct page.evaluate measurement (script inline, not saved as JSON - navW=1154/navX=268 at 1440, navW=1394/navX=268 at 1680, vs sweep-main.json analyze mainChildRect {w:1100,x:415} at 1680 and {w:1100,x:295} at 1440); screenshots w2560-settings.png, w1680-analyze.png, w1440-analyze.png","This is a structural inconsistency, not merely wasted space: the control (which tab is active) is visually detached from the content it controls on every wide-viewport tabbed surface in the app. It gets worse, not better, as the screen widens - the opposite of what a responsive layout should do - because the two elements are keyed to two different width sources (uncapped main-col vs the capped-and-centered 1100px column) that were probably never meant to diverge.",
P1,layout,B-matrix,responsive,subtab-wrap-midrange,"Tab-heavy subtab bars wrap unpredictably to a second line (with an orphaned last tab) across nearly the entire mid/wide gap, with no responsive strategy","Analyze (13 subtabs) at 1024, 1280 AND 1440px; Settings (9 subtabs) at 900, 901 and 1024px - both resolve to one line only once the surface's own subtab-strip happens to be wide enough (Analyze: not until 1680px; Settings: by 1280px)","Screenshotted every surface at every width in the sweep and read the subtab row in each; nav.tabs is 'display:flex; flex-wrap:wrap' with no width-based collapse strategy (no horizontal scroll, no icon-only mode, no overflow '...' menu) per app.css:1108.","On Analyze at 1024px the 13 tabs split 5+8 across two rows; at 1280px they split 11+2; at 1440px 12 tabs fit on row one and 'Advanced' wraps alone onto its own second row (a visually orphaned single tab); only at 1680px do all 13 fit on one line. On Settings the 9 tabs split into two rows at 900px and 901px (Graphics..Wikipedia / Agenda..Advanced, with the popup overlapping 'Wikipedia'), and again at 1024px ('OpenStreetMap' clipped to 'Open...' by the popup, 'Data & backup'/'Advanced' wrapped down); by 1280px all 9 fit on one row.","screenshots w1024-analyze.png, w1440-analyze.png, w1680-analyze.png (13-tab case); w901-settings.png, w1024-settings.png, w1280-settings.png (9-tab case)","How many rows the subtab bar occupies - and whether the last tab sits alone on its own line - changes unpredictably as the window resizes through ordinary desktop widths, with no design intent behind exactly where it breaks. Combined with the misalignment finding above, a resize through this range visibly reflows and re-detaches the tab bar from its panel more than once before settling.",
P1,layout,B-matrix,responsive,main-content-1100px-hard-cap,Main content is hard-capped at 1100px with literally zero media queries above 900px anywhere in the stylesheet except one surface's explicit opt-out - confirmed quantitatively across 8 of 9 surfaces,"home, feed, insights, observatory, settings, search, library, analyze at every width from 1100px upward (1280, 1440, 1680, 1920, 2560) - Agenda is the sole, deliberate exception","Grepped app.css for every @media query (10 total) and confirmed none has a min-width or max-width between 700 and 900px on the high side, or any breakpoint above 900px at all except the phone ones (460/600/640/700/860/900 are all upper bounds, none is a lower bound above 900). Read the universal rule 'main > * { max-width:1100px; margin-left:auto; margin-right:auto; width:100%; }' (app.css:289, no media query wrapper). Measured mainChildRect and computed whitespace ratio ((left+right empty px)/viewport width) at every width for every surface via page.evaluate.","mainChildCappedAt1100 is true and mainChildRect.w is exactly 1100 for home/feed/insights/observatory/settings/search/library/analyze at 1440, 1680, 1920 and 2560px, regardless of viewport. The whitespace ratio grows monotonically past the cap: 0.236 at 1440, 0.345 at 1680, 0.427 at 1920, 0.57 at 2560 - i.e. at a 2560px display, 57% of the screen is empty gutter framing a fixed 1100px column, on 8 of the 9 surfaces tested. Agenda is the sole exception (CSS: '#tab-agenda { max-width:none; }', app.css:854) and its own mainChildRect grows uncapped to 1630px at 1920 and 2270px at 2560 (whitespace ratio only 0.113 at 2560) - proof the escape-hatch pattern already exists and works.","/home/user/oo-ui/wf-b/responsive-wide/sweep-main.json (per-width mainChildRect/mainChildCappedAt1100/totalWhitespaceRatio for every surface); screenshots w2560-settings.png, w2560-search.png, w2560-home.png vs w2560-agenda.png","This is the exact gap named in the brief, now measured precisely rather than asserted: it is not a soft degradation, it is a single unconditional CSS rule with no exceptions built for it, and the one surface that needed more room (Agenda's week/month grid) simply opted all the way out rather than getting a wider cap. On a common 1920 or 2560 monitor - not an exotic ultrawide - nearly half to over half the browser chrome's content area is permanently unusable by 8 of 9 primary surfaces.",
P1,visual,B-matrix,themes,F1-line-var-undefined-borders,var(--line) is still undefined app-wide; #oo-tip and #net-coach render with 0px/none borders on every dark theme,"#oo-tip (invariant #17's universal hover-info bubble) and #net-coach (invariant #14's airplane-mode coachmark) on all 9 dark themes (ink, slate, midnight, cyber, forest, aubergine, garnet, terminal, contrast), lang=en, 1440×900. By construction (identical `border:1px solid var(--line)` shorthand, no fallback), `.gw-lang` (first-launch wizard) and `.carousel-dot` (Home leads carousel) are provably subject to the same defect but were not independently rendered in this run — see notReached.","Read app.css's own comment (line ~305) documenting that a prior session found `border:1px solid var(--line)` invalid at computed-value time on 11 <dialog>s because --line is defined nowhere in the stylesheet, and fixed it with ONE blanket `dialog{border:1px solid var(--border)}` rule scoped to <dialog> elements. I then live-probed getComputedStyle(el,'::').borderTopStyle/Width/Color for #oo-tip and #net-coach (non-<dialog> elements that separately declare `border:1px solid var(--line)` at app.css:1573 and :1594) across all 9 dark themes via /home/user/oo-ui/wf-b/themes-dark/line_probe.py, then","getComputedStyle(document.documentElement).getPropertyValue('--line') returns the empty string on every one of the 9 dark themes (line-var-probe.json). For #oo-tip and #net-coach on the `ink` theme: borderTopStyle:'none', borderTopWidth:'0px' — the exact 'invalid shorthand resets to initial' failure the app.css comment already diagnosed for dialogs, now demonstrated live on two OTHER call sites the dialog fix never touched. The 2026-09-07 fix closed the gap for <dialog> only; the other ~39 of the '41 SPA call sites' the brief names (39 non-dialog uses of var(--line) still exist per a grep of app.css/index.html/reader.css/taskmanager.html) remain unaddressed.","/home/user/oo-ui/wf-b/themes-dark/line-var-probe.json (rootLineRaw:'' for all 9 themes); live check on ink theme: {'oo-tip': {'style':'none','width':'0px','color':'rgb(232, 235, 240)'}, 'net-coach': {'style':'none','width':'0px','color':'rgb(232, 235, 240)'}}; src/static/app.css lines 305-308 (the prior session's own documentation of the mechanism) and lines 1573, 1594, 1602, 1611, 1638 (the still","#oo-tip is the vehicle for invariant #17, described as 'the informed-consent instrument' — every caveat/method hover bubble in the app renders through it. It still functions (drop-shadow + a colored border-inline-start accent survive, since those are separate declarations), so this is not a P0 breakage, but the intended 1px enclosing line around the single most-reused UI element in the informed-consent design is invisible on 100% of dark themes, by construction, not by choice — an untested/unnot",
P1,contrast,B-matrix,themes,F2-lonely-signal-chip-fails-aa,The 'lonely signal' trigger-badge chip fails WCAG AA on every dark theme tested,"span.chip text 'lonely signal' (the Home 'Undertold' card's audit-trail badge, invariant #9) on all 9 dark themes, home surface, lang=en, 1440×900. Sibling badges on the same cards (orange 'source laundering', yellow 'recycled claim', teal 'diet self audit'/'story propagation') were NOT flagged, so this is scoped to this one hue, not a systemic chip problem.",contrast_failures() flagged span.chip in the worstContrast list for the home surface on all 9 dark-theme JSONs; I then queried every `.chip` element's own computed background/color/border directly (not just the flagged one) on the ink theme to rule out the own-background-exclusion artifact described in F3.,"Every `.chip` has `background: rgba(0,0,0,0)` (fully transparent — so the harness's ancestor-only backdrop is the CORRECT backdrop here, this is a real measurement) and paints its text in a fixed, non-theme-derived color per category: 'lonely signal' = rgb(129,71,209) (fixed purple) on the panel background. Measured ratio ranges from 2.75:1 (slate) to 3.27:1 (terminal) against a 4.5:1 requirement — fails on all 9. The other three badge hues (orange/yellow/teal) pass on every theme in the same sweep.","theme-slate.json / theme-terminal.json worstContrast entries: {'sel':'span.chip','text':'lonely signal','ratio':2.75,'need':4.5,'declaredColor':'rgb(129, 71, 209)','bg':[30,37,49]} (slate) … {'ratio':3.27,'bg':[14,22,25]} (terminal); direct DOM probe confirming `background-color: rgba(0,0,0,0)` on all `.chip` elements (so no own-background artifact applies here).","Invariant #9 requires every evidence-tiered card to 'explain itself in plain words first,' and the trigger badge is the very first word a reader sees. A badge that fails AA legibility on every dark theme partially defeats the informed-consent design it belongs to — someone with even mild low-vision or a dim/reflective screen may not reliably read 'lonely signal' as the fixed-purple hue sits closer to the panel background than its three sibling badges.",
P1,contrast,B-matrix,themes,F2,Agenda's de-emphasized adjacent-month day numbers fail AA in all 8 themes via opacity,"agenda surface, span.ag-dn (month-grid day numbers for the leading/trailing days outside the current month, opacity:0.35); all 8 swept themes","Ran contrast_failures() on the Agenda month view in all 8 themes, and cropped the top-left '31' cell in light-agenda.png for a direct visual check.","Composited ratios of 1.56–1.84:1 against the required 4.5:1 in every theme (paper 1.56, dawn 1.57, mint 1.58, mist 1.58, light 1.66, solar 1.73, arctic 1.80, sepia 1.84). The crop shows the '31' rendering as barely-visible light grey on white — this is exactly the composited-opacity case the brief called out.","/home/user/oo-ui/wf-b/themes-light/crop-light-agdn.png; all 8 *-report.json contrast_failures[] sel='span.ag-dn', opacityChain=0.35","A universal, single-line fix (the opacity value) would clear an AA failure that currently exists on every theme in the catalog, on a data surface (the calendar) users scan constantly.","Replace opacity:0.35 with a theme-aware fixed color pinned to pass 4.5:1 against --panel (opacity de-emphasis composites unpredictably, as this shows)."
P1,contrast,B-matrix,themes,F3,The 'Developing corpus' tier badge fails AA on every one of the 8 themes tested,"home surface, span.tier-badge; all 8 swept themes",Ran contrast_failures() on Home in all 8 themes.,"A single hardcoded blue, rgb(59,130,196), used as the badge's text color, scores 3.20:1 (solar) to 4.22:1 (arctic, its best case) — every theme falls short of the 4.5:1 small-text requirement, including the theme where it comes closest.","all 8 *-report.json contrast_failures[] sel='span.tier-badge', text='Developing corpus'","Because the failure recurs even in the best-performing theme, this is a color-choice bug independent of any one palette — fixing the token fixes it everywhere at once.",Darken/desaturate the badge blue (or route it through the same per-theme-safe pipeline as --caveat) so it clears 4.5:1 against both the darkest and lightest panel in the catalog.
P1,contrast,B-matrix,themes,F4,"The shared ooSubtabs 'active' tab label fails AA everywhere the component is used, in every theme","insights, settings, agenda, library surfaces (button.active — the ooSubtabs active-tab state, invariant #18's shared component); all 8 swept themes",Ran contrast_failures() across insights/settings/agenda/library in all 8 themes.,"button.active uses --accent directly as text color on a tinted active background. Ratios range from 3.28:1 (mist) to 4.34:1 (solar) — even 'light' itself, whose other tokens are the best-calibrated of the 8, only reaches 4.30:1 for 'Explore'/'Graphics'/'Month'/'Overview'. All 8 themes fail.","*-report.json contrast_failures[] sel='button.active'; e.g. mist 3.28 rgb(94,129,172) on rgb(228,232,238), light 4.30 rgb(47,111,179) on rgb(230,234,240)","ooSubtabs is invariant #18's ONE reusable subtab component, deliberately reused across Insights/Settings/corpus window/Home/task-manager to avoid drift — a single accent-as-text choice therefore fails AA on every surface that adopts it, in every theme, simultaneously.","Give the active-tab label a slightly darker/higher-contrast shade than raw --accent (a dedicated --accent-text token), since --accent itself is tuned to work as a fill/border, not as small text on a light tint."
P1,layout,B-matrix,themes,F6,Insights → Explore: a view-toggle button renders overlapped/hidden behind its neighbor,"insights surface, 'Associated keywords (mind-map)' view-toggle row; confirmed in light, mist, dawn, mint, paper (5 of 8 themes directly inspected)","Looked at insights-surface screenshots by eye per the brief's 'then actually look' instruction, noticed a garbled label, then cropped and 2x-upscaled the same pixel region across 5 themes for a controlled comparison.","Between the 'Families' and 'Mind-map' buttons, a third button (label likely 'Super-groups' or similar) renders with its text wrapped to two characters, 'S' over 'g', and sits partially UNDER the 'Mind-map' button — pixel-identical overlap position across all 5 themes checked, so this is a CSS/flex sizing bug independent of theme. The automated overflow() scanner did not flag it (0 overflow elements on insights in any theme) because nothing is clipped or escapes the viewport — it's a sibling-on-sibling visual overlap, which is outside what that scanner checks.","/home/user/oo-ui/wf-b/themes-light/crop-mist-insights-tabs.png, crop-light-insights-tabs.png, crop-paper-insights-tabs.png, crop2-dawn-insights-tabs.png, crop2-mint-insights-tabs.png (all show the same 'S'/'g' fragment trapped behind 'Mind-map')","One of the toggle options is effectively unclickable/unreadable — a real interaction defect a user will hit on a core Insights control, and a case study in why automated overflow/contrast probes must be paired with an actual look.",Give the view-toggle buttons a fixed min-width or switch the row to a wrapping flex layout (flex-wrap) so labels never compress into a stacked/overlapping state; the fix likely needs no theme-specific work since it reproduces identically everywhere.
P1,-,C-i18n,sweep,F1,"Network kill-switch aria-label never translates, on every surface, permanently","top bar #net-toggle (the airplane-mode/network-consent control, invariant #14) — present and identical on all 15 surfaces, zh and ja (and by the same code path, all 10 other non-English locales)","Loaded zh and ja with locale pre-set in localStorage, navigated through all 15 surfaces via show(), and captured text_map() (which records aria-label/title/placeholder as user-visible text) at each stop, including 'help' reached after ~15 tab switches and several minutes of session time so any boot-race would have had time to resolve.","@aria-label:button#net-toggle reads 'Airplane mode (network on/off)' in English on every single one of the 30 (15 surfaces × 2 locales) captures, with no exception, even at the very last surface visited in the session.","src/static/index.html:133-135 — aria-label=""Airplane mode (network on/off)"" is a static HTML attribute marked data-i18n-dyn (which opts it OUT of the generic i18n DOM-walker). Grepped every app-core.js call site that touches #net-toggle (_paintNetwork, toggleNetwork, _paintEgressWindow): all of them set btn.title dynamically via OOI18N.t(), none ever call btn.setAttribute('aria-label', ...). Yet s","This is the app's single most important consent-gating control (maintainer invariant #14: 'EVERY offline→online transition passes the ONE consent popup'; rule 17 makes the hover/aria layer THE informed-consent instrument). A screen-reader user running the app in Chinese or Japanese hears the network kill switch's accessible name in English, forever, on every page — the one place the project's own constitution says transparency must never degrade.","Have the code path that already sets btn.title (in _paintNetwork) also call btn.setAttribute('aria-label', t(...)) with the equivalent translated aria text, the same way title is refreshed on every state change and langchange."
P1,-,C-i18n,sweep,F2,"Collection-speed knob's title AND aria-label both stay in English for the entire session — one is a wiring race, the other has no translation to begin with","top bar #rate-toggle (the collection-speed governor knob, invariant #4 amendment 2026-07-23) — present on all 15 surfaces, zh and ja","Same methodology as F1: captured text_map() at all 15 surfaces per locale, including the last-visited 'help' surface minutes into the session.","@title:button#rate-toggle reads the full English sentence ('Collection speed: Maximum — uses your connection fully…') on every one of 30 captures, with zero exceptions, at every point in the session. @aria-label:button#rate-toggle likewise reads 'Collection speed (target / maximum)' in English on every capture.","src/static/app-sources.js:838-843 — loadRateMode() is called exactly ONCE at boot (src/static/app-boot.js:115, in the same synchronous chain as loadHealth/loadSources, not awaited against i18n's async locale fetch) and _paintRateMode() is never invoked again by anything else in the codebase (grep confirms no other call site, no oo:langchange listener for it — contrast with net-toggle's title, whic","Same top-bar-consent-surface argument as F1, for the collection-speed governor: an operator relying on the hover tooltip (rule 17's 'universal hover-for-information convention') to understand what a currently-'maximum' bandwidth mode means gets English text, permanently, in two non-English locales checked here.","Re-run loadRateMode() (or at least re-call _paintRateMode with the last-known mode) after i18n finishes loading — e.g. inside i18n.js's setLang()/init() success path, or by adding rate-toggle repaint to the oo:langchange listener the way net-toggle would need to be for F1. Also register 'Collection speed (target / maximum)' as a translation key in all 12 locale files."
P1,-,C-i18n,sweep,F3,Observatory's 12 domain/wedge category labels render in English on the canvas regardless of UI locale,"observatory tab, the whole-corpus night-sky canvas (maintainer invariant #31) — confirmed identically in zh and ja","Navigated to observatory in zh and ja, screenshotted the rendered canvas, and grepped oosky.js/app-observatory.js for how the domain labels are drawn.","All 12 wedge labels around the sky circle — Technology, Climate & environment, Conflict & security, Culture & heritage, Economy & finance, Energy & resources, Law & society, Life sciences & medicine, Media & information, Physical sciences, Politics & governance, Sport & infrastructure — render in plain English in both the zh and ja screenshots, while every other piece of chrome on the same page (page title '天文台'/'天文台', the two dropdown labels '距中心的距离'/'颜色', the intro paragraph, the sidebar, the network-consent popup) is fully translated.","src/static/oosky.js:495 draws `ctx.fillText(da.domain, lx, ly)` with `da.domain` taken directly from the raw English taxonomy string (oosky.js:308/315/325) — canvas text is invisible to i18n.js's DOM-based MutationObserver walker by construction (it only ever sees real DOM text nodes and attributes), and no `t()`/`tf()` call wraps this fillText. Additionally, checked each of the 12 domain strings ","The Observatory is a full main tab (maintainer ruled it a keystone lens over the whole corpus) whose entire category taxonomy — the thing that gives every star its angular position — is unreadable to a zh/ja reader who doesn't also read English, even though the surrounding UI promises full translation.","Wrap the fillText call in OOI18N.t(da.domain) (or a server-side/JS mapping from the fixed English domain slug to a translation key), and register the 11 missing domain-name keys across all 12 locale files."
P1,-,C-i18n,sweep,F4,Live confirmation: Chinese-language keyword extraction is unsegmented — whole clauses appear as single 'keyword' chips,"Insights → Map subtab, per-country top-keywords table (row 'cn'); root cause is in the keyword pipeline (src/services/keyword_extractor.py), so it also affects any other surface that surfaces the same extracted zh terms (e.g. Insights → Explore family/topic chips, if a zh-sourced term ranks into them)","Confirmed the map subtab exists at data-tab='map' (not 'keywords'/'cloud' as first guessed from the task description), drove to it live in both zh-UI and ja-UI, and read the per-country keyword-chip table directly off the rendered page; then grepped the extractor's tokenization.","Every other language row in the 'top keywords by country' table shows short, clean, single-or-two-word terms — de: 'hohe', 'zahl', 'woche', 'wähler', 'obwohl'; fr: 'participation', 'autorités', 'nouvelles', 'budget', 'vote'; es: 'votantes', 'fila', 'alto', 'votar', 'récord'. The 'cn' row instead shows five full, un-segmented clauses treated as single keyword tokens, each with frequency 2: '分析人士指出' ('analysts pointed out'), '独立观察员表示' ('independent observers stated'), '州长办公室承诺' ('the governor's office promised'), '出现了长时间的延误' ('there were long delays'), '地区选举官员本周证实' ('regional election officials confirmed this week'). Identical in both the zh-UI and ja-UI screenshots (this is corpus-source-language data, not UI-locale-dependent, so it reproduces under either UI locale).","src/services/keyword_extractor.py:102-104 categorizes n-grams with `len(w.split())` (Python's whitespace split) — a Chinese clause has no interior whitespace, so a 6-character clause with zero spaces returns `len(w.split())==1` and is classified/kept as a single 'unigram' term rather than being segmented into its constituent words. Grepped the whole file: no jieba import, no CJK-aware tokenizer an","This proves the recorded open P1 (unsegmented zh keywords) live, with a specific root cause and file/line, rather than leaving it as a suspicion. Every zh-language keyword/entity insight in the app is affected the same way — 8 of the corpus's 8 languages includes zh per the state-C fixture, so this degrades a real, populated slice of the product's core value proposition (keyword/entity analytics) for Chinese-sourced content specifically.","Add a CJK-aware segmentation step (e.g. jieba for Chinese) ahead of the whitespace-based n-gram categorizer, gated on detected/declared article language, before keywords reach `extract_keywords`."
P1,-,C-i18n,sweep,F1,Airplane-mode toggle's aria-label is permanently English in every locale — the translation exists and is simply never applied,"Top bar #net-toggle button, present and rendered on all 15 surfaces tested, both de and ru","Ran text_map() on all 15 surfaces x {en,de,ru}, diffed against en, then cross-checked the candidate 'Airplane mode (network on/off)' against src/static/locales/{de,ru}.json.","The key 'Airplane mode (network on/off)' EXISTS in de.json ('Flugmodus (Netzwerk ein/aus)') and ru.json ('Режим полёта (сеть вкл./выкл.)') — a correct, complete translation — yet the live DOM aria-label reads the raw English string in both locales, on every one of the 15 surfaces (it is a persistent top-bar element).","raw-de.json / raw-ru.json, e.g. entry {'text':'Airplane mode (network on/off)','sel':'@aria-label:button#net-toggle'} under every surface key; root cause confirmed by reading src/static/index.html:133 (`<button id=""net-toggle"" data-i18n-dyn ... aria-label=""Airplane mode (network on/off)"">`) and src/static/app-core.js _paintNetwork() (~line 573-600), which translates `btn.title` via `t()` on every ","This is the app's own airplane-mode invariant (#14) — a maintainer non-negotiable, described in CLAUDE.md as the informed-consent instrument for the network kill switch. A German- or Russian-language screen-reader user hears the control's *name* in English while everything else around it (title-on-hover, the visible chrome) is correctly localized — silent, invisible-to-sighted-review, and present on literally every screen of the app.","In _paintNetwork() (app-core.js), also call `btn.setAttribute('aria-label', t9(""Airplane mode (network on/off)""))` alongside the existing `btn.title = ...` assignment. Same pattern likely needed for the twin bug in #rate-toggle (see F2)."
P1,-,C-i18n,sweep,F2,"Collection-speed knob: both hover-title strings have no i18n key at all in ANY of the 12 locale files — not a de/ru-specific gap, an app-wide one","Top bar #rate-toggle button, all 15 surfaces, all 12 locales (not only de/ru)",Diffed text_map() en vs de vs ru; found the two 'Collection speed: ...' title strings and the 'Collection speed (target / maximum)' aria-label as candidates on every surface; checked src/static/locales/en.json for a matching key.,"Neither 'Collection speed: Maximum — uses your connection fully (politeness per host unchanged). Click for the considerate 500 KiB/s target.' nor its target-mode counterpart nor the aria-label exist as a key in en.json at all. The code in app-sources.js `_paintRateMode()` DOES call `t9(...)` on these strings (so the developer intended them to be translatable) but since the key was never added to the 12 locale JSON files, `t()` always falls through to the untranslated English literal for every language, including de and ru.","Python check: `'Collection speed: Maximum — uses your connection fully...' in en` → False (same for the aria-label and the target-mode title). Code: src/static/app-sources.js lines ~816-829 (_paintRateMode) and index.html:124-126 (`aria-label=""Collection speed (target / maximum)""`, no JS ever updates this attribute either).","This is invariant #4's 2026-07-23 top-bar addition (the collection-speed governor knob) — a persistent, always-visible control on every surface. It shipped with a t()-wired implementation but the actual translation entries were never added to the locale files, so it silently renders in English for ALL 12 supported languages, not just Germanic/Slavic ones.","Add the two title strings and the aria-label to en.json (and translate into all 12), and separately fix app-sources.js/app-core.js to also update the aria-label attribute, not just title, mirroring F1."
P1,-,C-i18n,sweep,F3,"Theme catalog: 15 of 17 theme names have zero i18n keys — only 'Light' and 'System' are translated, everything else is stuck in English","Settings → Appearance theme picker (`button.theme-card`), invariant #12's pinned catalog","Diffed the settings surface, then checked all 17 theme labels (Ink, Slate, Midnight, Arctic, Cyber, Forest, Aubergine, Garnet, Solar, Sepia, Terminal, Contrast, Light, Mist, Dawn, Mint, Paper, System) against en/de/ru.json.","Only 'Light' ('Hell'/'Светлая') and 'System' ('System'/'Система') carry i18n keys. The other 15 — Ink, Slate, Midnight, Arctic, Cyber, Forest, Aubergine, Garnet, Solar, Sepia, Terminal, Contrast, Mist, Dawn, Mint, Paper — have NO key at all in any of the 12 locale files, so they render in raw English inside an otherwise fully-translated German/Russian settings page.","Screenshot /home/user/oo-ui/wf-c/sweep-germanic-slavic/de-settings.png and ru-settings.png — both show 'Hell' (DE) / 'Светлая' (RU) correctly translated for the Light theme, sitting next to 'Ink', 'Slate', 'Midnight', 'Arctic', 'Cyber', 'Forest', 'Aubergine', 'Garnet', 'Solar', 'Sepia', 'Terminal', 'Contrast', 'Mist', 'Dawn', 'Mint', 'Paper' all still in English. Python cross-check: only 2 of 17 t","That exactly 2 of 17 are translated (and not, e.g., all-or-nothing) indicates an incomplete rollout rather than a deliberate 'evocative brand name stays English' design choice — if that were the intent, 'Light' and 'System' would not have been singled out for translation either. This directly touches invariant #12 ('the theme catalog never shrinks... 17 named themes').","Add i18n keys for the remaining 15 theme names across all 12 locales for consistency, or if the maintainer wants theme names treated as untranslatable proper nouns, revert Light/System to English too and record that as a deliberate ruling in OPEN_QUEUE.md."
P1,-,C-i18n,sweep,F4,Help tab: 9 of 10 in-app-doc titles and all 10 blurbs have zero i18n keys — the doc-nav sidebar is permanently English regardless of locale,Help surface (#doc-nav sidebar list),"Diffed the help surface's text_map (filtering out the large volume of expected English manual body text — see F5), isolated the 10 doc-nav button labels+blurbs, traced them to src/api/main.py's `_DOCS` dict, and checked all 10 titles + 10 blurbs against en.json.","Only 'User Manual' has an i18n key (and IS correctly translated to 'Benutzerhandbuch'/'Руководство пользователя' via the DOM text-walker). The other 9 titles ('Quickstart', 'Ethics, compliance & notices', 'Governance & acceptable use', 'Security', 'Design', 'Roadmap', 'Architecture', 'Contributing', 'Changelog') and ALL 10 blurbs are hardcoded server-side English strings in `_DOCS` (src/api/main.py:2396-2445) with `/api/docs` returning them unlocalized regardless of the `?lang=` query param — so they can never be picked up by the client i18n engine no matter how complete the locale JSON is.","src/api/main.py `list_docs()` (~line 2467) returns `meta['title']`/`meta['blurb']` verbatim with no lang-based lookup, unlike `get_doc()` which does localize the document BODY via `_doc_path()`. Screenshot /home/user/oo-ui/wf-c/sweep-germanic-slavic/de-help.png shows 'Quickstart', 'Ethics, compliance & notices', 'Governance & acceptable use', 'Security', 'Design', 'Roadmap', 'Architecture', 'Contr","This is a permanent, structural i18n gap — not something a translator can fix by editing the locale JSON, because there is no key to translate. It affects the ONE list a non-English user reads to find help documentation.","Move title/blurb through the same i18n string-map convention as the rest of chrome (e.g., server returns the doc registry keyed by slug only; client looks up `t('doc.title.' + slug)` or simply keys off the literal English title string the same way the rest of the UI does) rather than serving pre-rendered English from the API."
P1,-,C-i18n,sweep,F1,Every Home Briefing Lead card's substantive body text (summary) is generated server-side in English with zero i18n path,"home surface, all 12 non-English locales (verified hi/bn/ar) — the flagship landing feature","Loaded / in hi, bn and ar (fresh localStorage lang, no prior English render) and captured text_map() on Home; cross-checked the rendered 'sum'/body text of every Lead card against src/briefing/producers.py.","The multi-sentence explanatory body under every card ('3 articles from 3 distinct sources... apparent corroboration...', 'Only ZH Regional Herald cn carried this; no other source published near-identical text...', etc.) renders in plain English in hi, bn and ar alike, while the surrounding chrome (chip labels, buttons, headings, the flip-card back's 'विधि:'/'Method:' and 'plain' sentence) is correctly translated on the same page.","src/briefing/producers.py:980-992 and :2020-2029 build these strings as raw Python f-strings assigned to Card.summary, with no summary_i18n/summary_vars counterpart (contrast with the same file's own title_i18n/title_vars pattern at line 289, documented in-file as 'the S4.5 reference producer: a TRANSLATABLE title'). Screenshots: /home/user/oo-ui/wf-c/sweep-indic-rtl/hi-home.png, bn-home.png, ar-h",Directly contradicts the project's own non-negotiable ('Every user-facing string ships ×12 locales') and UI invariant #9 ('every card explains itself in plain words FIRST... both translatable ×12') on the single most-visited surface. The mechanism to fix this (title_i18n/title_vars) already exists and is used one field over on the same Card object — summary/order_explain were simply never given the same treatment.,"Extend the title_i18n/title_vars pattern to summary (and to leads.py's explain_order) — a keyable template with the term/count/source-name left as {vars}, so the frame translates and only true data stays in the source language."
P1,-,C-i18n,sweep,F2,"order_explain ('Ranked by a disclosed order...') — the invariant-#23 visible caveat under every Lead card — is raw English server text, shown both inline and as a title, in every non-English locale","home surface, all 12 non-English locales (verified hi/bn/ar)",Same capture as F1; traced the '.ov-why.oo-tip-target' text through app-home.js to its source.,"The disclosed-ranking rationale sentence appears in full English under every card in hi/bn/ar, both as the card's always-visible text (matching the project's own layering-not-hiding informed-consent rule) and duplicated into the div's title attribute.","src/briefing/leads.py:96-106 (explain_order()) builds the string with an f-string, no i18n hook. src/static/app-home.js:899-900 inserts it verbatim: `<div class=""ov-why"" title=""${esc(c.order_explain)}"">${esc(c.order_explain)}</div>`. Screenshots: hi-home.png / bn-home.png / ar-home.png (visible under every card). Raw: textmap-{hi,bn,ar}-home.json show 8 occurrences each, all byte-identical to the ","This is exactly the text the maintainer amended CLAUDE.md invariant #23 to keep visible-by-default (the flip-card redesign moved it to the card back specifically so it stays an equal, un-hidden surface) — but it is unreadable to a Hindi/Bengali/Arabic-only user, defeating the purpose of the invariant for 11 of 12 shipped locales.","Same fix shape as F1: a keyable template in explain_order with {sources}/{n}/{tier}/{recency} as data, translated ×12."
