row,n,severity,verdict,title,step_ids,repro,expected,actual,evidence,root_cause,suggested_fix,walk_severity
J,1,P2,confirmed,Reopened export panel names an OLDER export and reports that verified corpus backup as 'Not verified' with 'no corpus',J5 J7,"Encrypted install with a large-data member present (here a 3-file HF model store). 1) Export with Corpus + LLM models ticked -> folder A (202609262011_…), panel 'Verified — all 4 volumes…', Files copied hf_models. 2) Untick LLM models, export again (corpus only) -> folder B (202609262012_…), 'Verified'. 3) Reload the page, Settings -> Data & backup -> Export / Back up….","The reopened dialog shows the LAST completed export (folder B) with its own facts, or at least, for whichever folder it names, the same facts that folder's BACKUP_SUMMARY.md holds (backup_v2.py's own docstring: 'a reopened dialog and the file on the drive cannot disagree').","It shows 'Backup complete → …/202609262011_OpenOmniscience_Backup (last completed export)' (folder A, the older one) with a RED 'Not verified — this export recorded no verify result.', 'Encrypted volumes: none — no corpus was selected for this export', 'Elapsed: — corpus', 'Encryption: — · copied files are not encrypted', 'Schema version: — · — · database —', 'App version: —', 'Licences: no attribution line applies…'. Folder A's BACKUP_SUMMARY.md says Verified, 4 volumes, corpus encrypted, two licence lines. GET /api/backup/export-summary?dir=<A> returns corpus_included=false, verify.state=unknown.","/tmp/claude-0/walk/J/shots/J-J7-reopen-after-corpus-only-en.png; /tmp/claude-0/walk/J/results/j7.json (reopen_panel_after_two; job_status: volumes job dest=B, folder job dest=A). Cause: src/static/app-backup.js:66-80 lets the folder job's done state override the volume job's unconditionally ('the more recent state'), which is false when a later export had no large-data phase; src/backup/export_summary.py:175-179 then drops every corpus fact because the in-memory volume status belongs to a different folder.","src/static/app-backup.js:66-80 (_uxShowLastCompletedExportSummary): a done folder-job status overwrites a done volumes-job status unconditionally (line 76, 'the more recent state to show'). That is false when a later export had no large-data phase, because the folder manager keeps an older dest. Then src/backup/export_summary.py:177-179 discards the volume summary because its dest differs, and line 202 turns 'summary not in memory for this folder' into corpus_included=false. The panel (app-backup.js:141-146, 196) and the verify sentence render that as 'no corpus was selected' plus a red 'Not verified'.","(1) Client: in _uxShowLastCompletedExportSummary, let the folder status win only if its dest equals the volumes dest (the same export) or the volume job holds no completed backup. Otherwise the two are different exports and the later one must win, which needs a finished_at timestamp in both managers' status() and a pick-the-latest rule. (2) export_facts: stop equating 'no in-memory summary for this folder' with 'no corpus selected'. Base corpus_included on volumes.json existing in the folder. When the in-memory facts belong to another export, return an explicit 'facts no longer in memory; see BACKUP_SUMMARY.md' state rather than verify 'unknown' plus 'none — no corpus was selected'.",P2
J,2,P2,confirmed,"A page reload during an export leaves the folder with no BACKUP_SUMMARY.md, and the reopened panel still reads 'Verified' with nothing saying the file is missing",J3 J5 J7,"Encrypted install. Export / Back up… -> destination /tmp/claude-0/walk/J/exports-reload, passphrase, click 'Back up'; as soon as the progress line reads 'Corpus: Preparing…', reload the page. Wait, reopen the dialog, list the folder.","Q209: BACKUP_SUMMARY.md beside volumes.json for every export (written by the job, or at least recoverable / flagged as missing on reopen).","202609261816_OpenOmniscience_Backup holds volumes.json, par-00001.oopar and 4 .ooenc but NO BACKUP_SUMMARY.md. The reopened dialog shows 'Backup complete → …202609261816_OpenOmniscience_Backup (last completed export)' and a clean 'Verified — all 4 volumes…' panel; no line says the summary was never written, and nothing on the page writes it afterwards.","/tmp/claude-0/walk/J/exports-reload/202609261816_OpenOmniscience_Backup/ (listing); /tmp/claude-0/walk/J/results/reloadmid.json; /tmp/claude-0/walk/J/shots/J-reloadmid-reopen-en.png. Cause: only the page's _uxRun sends POST /api/backup/export-summary, at its very end (src/static/app-backup.js:673); the reopen path (62-107) only GETs facts, and the GET response carries no summary_path (src/api/backup_v2.py:651-658).","BACKUP_SUMMARY.md is written only by the page: the POST /api/backup/export-summary at the tail of _uxRun (src/static/app-backup.js:673), inside the closure that a reload destroys. The reopen path (app-backup.js:94-104) only GETs facts. export_summary_read (src/api/backup_v2.py:651-658) returns no summary_path or exists flag, so the panel cannot say the file is missing.","Write the summary server-side at the end of each backup job. In VolumeJobManager._run_backup, write it right after kept['verify'] is set (src/backup/volume_job.py:393), from export_facts(destp, volume_status=self.status()). In the folder backup job, rewrite it when the copy completes, so the last writer carries both halves. Keep the page's POST as an idempotent rewrite. Minimum fallback: have GET /export-summary report whether BACKUP_SUMMARY.md exists, and have _uxShowLastCompletedExportSummary POST it when absent, or name the absence in the panel if the write fails.",P2
J,3,P3,confirmed,Arabic (RTL): paths and the example folder name are bidi-reordered in the export dialog and panel,J5,"Switch to العربية, open Settings -> Data & backup -> Export / Back up…, type /tmp/claude-0/walk/J/exports as destination, run an export (or reopen after one).","LTR data (a filesystem path, the folder name 202609121045_OpenOmniscience_Backup) keeps its own order inside the RTL dialog.",The hint's example reads 'OpenOmniscience_Backup_202609121045.' (date moved after the name - the opposite of the real folder name); the destination input shows 'tmp/claude-0/walk/J/exports/' with the leading slash moved to the end; the 'Backup complete →' path and the Destination <code> row show the same displaced slash; the English licence lines show their trailing periods at the wrong end ('.alike').,"/tmp/claude-0/walk/J/shots/J-J5-ar-bidi-zoom.png, J-J5-dialog-ar.png, J-J5-panel-bottom-ar.png; computed direction of #ux-dest and #ux-summary code = rtl (/tmp/claude-0/walk/J/results/j5b.json). No dir='ltr'/dir='auto'/<bdi>/unicode-bidi isolation at src/static/index.html:3319 (#ux-dest), :3321 (hint), src/static/app-backup.js:98 and :664 (completion path span), :175 (Destination code).",There is no bidi isolation on the LTR data. #ux-dest has no dir attribute (src/static/index.html:3319). The hint's example folder name is not wrapped (index.html:3321). The completion-path spans (src/static/app-backup.js:98 and :664) and the Destination <code> (app-backup.js:175) inherit direction:rtl.,"Add dir=""ltr"" (or unicode-bidi:plaintext) to #ux-dest. Wrap the example folder name in the hint and the dest in the two 'Backup complete →' spans in <bdi dir=""ltr""> (or the FSI/PDI span pattern already used in app-ai-tools.js:243). Add dir=""ltr"" to the Destination <code> and the summary-path <code>.",P3
J,4,P3,confirmed,First export on an install without an evidence key omits the signing key it creates mid-run (3 volumes; later exports 4),J4,"Fresh encrypted seed (no data/keys/). Export once, then export again; compare the two volumes.json member lists.",Every export carries the same members for the same corpus; the key that signs a backup is inside that backup (encrypted artifacts carry keys/…).,"The first export (202609261803_…) has 3 volumes: logs/app_errors.jsonl, corpus.db.sqlcipher, manifest.json. data/keys/evidence_ed25519.pem was created at 18:03:57.338, during that export (folder allocated 18:03:56.5, summary written 18:03:58.97), after members were collected. Every later export has 4 volumes, the 4th being keys/evidence_ed25519.pem. A restore of that first backup onto a new machine would not carry the identity that signed it.","/tmp/claude-0/walk/J/exports/202609261803_OpenOmniscience_Backup/volumes.json vs /tmp/claude-0/walk/J/exports/202609261804_OpenOmniscience_Backup/volumes.json; ls --full-time /tmp/claude-0/walk/J/data-enc/keys. Members are collected in src/backup/artifact.py:420-470 (keys only if the dir already exists, 463-468) while load_or_create_signing_key() runs later (src/backup/artifact.py:483-490; src/backup/stream_backup.py:310-317).","src/backup/stream_backup.py:981 collects side members (keys only if data/keys exists, lines 612-616) before _build_envelope (line 1108) calls load_or_create_signing_key() (line 1243), which creates the key after collection. The envelope then asserts keys_included: True (line 1250).","In write_stream_backup, call load_or_create_signing_key() before _collect_side_members (just before stream_backup.py:981), mirroring artifact.py:488-490. Optionally derive keys_included from whether a keys/ member was actually collected instead of hardcoding True.",P3
J,5,P3,confirmed,Plaintext corpus: Encryption row and summary contradict themselves ('stored unencrypted' beside 'The corpus … are encrypted'),J2 J3,"Plaintext install (OO_DB_PLAINTEXT=1, port 8819), export the corpus, hover the Encryption row label, open the folder's BACKUP_SUMMARY.md.",One consistent statement: the volumes are encrypted with the export passphrase; the database inside is not SQLCipher-encrypted (brief §6 leaves the exact wording to the maintainer).,Panel row 'corpus stored unencrypted in this backup' with hover 'The corpus and every member of the artifact are encrypted. …'; the file's Encryption section reads 'Corpus at rest in this backup: no' immediately followed by 'The corpus and every member of the artifact are encrypted. …'.,/tmp/claude-0/walk/J/results/plain.json (encryption_row); /tmp/claude-0/walk/J/exports-plain/202609261814_OpenOmniscience_Backup/BACKUP_SUMMARY.md; src/static/app-backup.js:176-181; src/backup/export_summary.py:349-374.,"corpus_encrypted is the SQLCipher flag of the corpus member (src/backup/stream_backup.py:1124/1183/1253, src.encrypted). The UI and the file render it as whether the corpus is encrypted in the backup: src/static/app-backup.js:179 ('corpus stored unencrypted in this backup') and src/backup/export_summary.py:359-360 ('Corpus at rest in this backup: no'). Both sit beside the unconditional note at export_summary.py:226-231.","Reword the false branch so it states what the flag measures, in both carriers, e.g. panel: 'corpus database not separately encrypted (the backup's volumes are)'; file: 'Corpus database SQLCipher-encrypted inside the volumes: no'. Keep the note, which is then consistent. The exact wording goes to the maintainer.",P3
J,6,P3,confirmed,Progress line never names the verify-after-write re-read,J2 J7,Run any export with verify on and sample #ux-progress every 40-60 ms.,The costly re-read is visible as its own phase (it can roughly double the export time on a slow drive).,"Across the 9 sampled exports the only labels seen were 'Preparing the export folder…', 'Corpus: Preparing…', 'Corpus: Backing up… · N volumes · size', 'Corpus: Writing parity… · N volumes · size', 'Large data: …' and the completion line; the ~1.2 s between parity and completion (which includes the re-read) kept reading 'Writing parity…'. No 'Verifying' label ever appeared.","/tmp/claude-0/walk/J/results/j2.json, j4.json, j7.json (progress_seen). src/static/app-backup.js:355-384 (_uxVolPhase backup map has no 'verifying'; unknown phases fall to 'Backing up…').","src/static/app-backup.js:356-357: the backup-mode phase map has no 'verifying' entry, so line 384 falls back to the mode default 'Backing up…'. volumes_verified and volumes_total are never rendered (the extras at :415-418 read only volumes_written and bytes_written).","Add verifying: t(""Verifying volumes…"") to the `back` map in _uxVolPhase (app-backup.js:356). In _uxProgressView, append ' · {volumes_verified}/{volumes_total}' when those fields are present.",P3
J,7,P3,confirmed,Export hovers left in English on fr/ar/zh pages (caveat surface),J5,"Switch to Français, العربية or 中文, open the export dialog after an export, hover the greyed Living sources row, the Elapsed label and the Encryption label.",Caveat strings ship ×12 (informed-consent non-negotiable); only the verdict's technical detail is English by design.,"'a lane is a live encrypted database; its backup format is not settled yet', 'no large-data files were copied' / 'the large-data copy records no timing of its own', and 'The corpus and every member of the artifact are encrypted. Copied large-data files … NOT encrypted …' stay English in all three locales (the three known gaps, confirmed).","/tmp/claude-0/walk/J/results/j5.json (row_label_titles per lang), /tmp/claude-0/walk/J/results/j5b.json (living_hover per lang). src/static/app-backup.js:258 (t(d.not_exportable_reason), no locale key), 167-170 (el.files_s_reason raw), 176-181 (enc.note raw).","The strings are backend English with no locale keys: src/backup/inventory.py:118 (rendered via t() at app-backup.js:265, but no key exists), and src/backup/export_summary.py:216-219 and :226-231, rendered raw as titles at app-backup.js:170 and :181.","Key the three hovers client-side, as _uxVerifySentence does: map the reasons to en.json keys plus the 11 translations and pass them through t() at app-backup.js:170, :181 and :265. Keep the backend string only as a fallback.",P3
J,8,P3,confirmed,Help renderer splits a wrapped list item: the manual's 'never scheduled' bullet breaks mid-sentence into a separate paragraph,J1,Top-bar '?' -> User Manual -> type 'never scheduled' in 'Find on this page…'.,"One bullet: 'Exports are never scheduled. There is no automatic or timed export and none is planned — an export is a deliberate act, …'.","The bullet ends at '… and none is'; 'planned — an export is a deliberate act, because it writes your corpus …' renders as a separate paragraph outside the list (same for every wrapped bullet around it, e.g. the BACKUP_SUMMARY.md and Import reports bullets).",/tmp/claude-0/walk/J/shots/J-J1-manual-en.png; docs/USER_MANUAL.md:1326-1328 (indented continuation lines); src/static/app-settings.js:185-188 (the list branch only consumes lines that start with a list marker).,src/static/app-settings.js:185-189: the list branch consumes only lines that match a list marker. An indented continuation line breaks the loop and becomes a paragraph (line 191 para.push).,"In the list loop, append each following non-blank line that has no list marker and is indented (or any lazy continuation) to the current item's text, joined with a space, before calling inline(). Close the item only on a blank line, a new marker or a dedent.",P3
J,9,P3,confirmed,French/Arabic wording nits on the export surface,J5,Open the export dialog and completion panel in Français and العربية.,Correct agreement and consistent terms.,"fr: 'Fichiers copiés : aucune' (the shared 'none' key is feminine, src/static/locales/fr.json:2753; 'fichiers' needs 'aucun'); 'modèles LLM' starts lowercase in the checklist (fr.json:1907); the progress prefix 'Corpus: Préparation…' lacks the French space before the colon (prefix + ': ' hardcoded in _uxPoll). ar: the corpus is 'المجموعة' in the checklist but 'المتن' in Elapsed and the parity hint.","/tmp/claude-0/walk/J/shots/J-J5-export-fr.png, J-J5-panel-bottom-ar.png; /tmp/claude-0/walk/J/results/j5.json.",One context-free 'none' key serves nouns of both genders (src/static/locales/fr.json:2753). There is a lowercase value at fr.json:1907. The prefix and ': ' are concatenated in code at src/static/app-backup.js:458 rather than put through a translatable template. Two different Arabic terms are used for the same concept across the 'Corpus' and 'corpus' keys in ar.json.,"Give 'Files copied' its own 'none' key (fr 'aucun'). Capitalise 'Modèles LLM'. Build the progress prefix with tf('{prefix}: {text}') so fr can render '{prefix} : {text}'. Align the ar 'corpus' value with 'المجموعة', or pick one term for both keys.",P3
L,1,P2,confirmed,"28 real ISO 3166-1 codes, Vatican City among them, are missing from the alpha-3 table and show as two-letter codes that hover 'not a recognised country code'",L2 L3 L4 L5 L11 L13,"Encrypted seed plus the boot autoseed, then look at: Settings > Advanced > Calendar directory (rows '· holidays · AX'/'AI'/'BQ'/'BV'/'IO'); Settings > Advanced > Sources > Country filter ('Anguilla (ai)', 'Cook Islands (ck)', 'Vatican City (va)'); the Library > World coverage table rows va/ai/ck and the 'Not covered (43)' pills; Governments > Groups > Computed > Europe 'missing: … ax … gg …'; the Export all (CSV) rows for va/ck/ai.","Every code on screen is alpha-3 with the localised name in the hover (VAT 'Vatican City', ALA 'Åland Islands', AIA 'Anguilla' …), and the export fills country_iso3 for real ISO codes.","Bare codes 'va', 'ai', 'ck', 'aq', 'ax', 'bl', 'bq', 'bv', 'cc', 'cx', 'eh', 'fk', 'gf', 'gg', 'gp', 'gs', 'hm', 'io', 'je', 'mf', 'mq', 'ms', 'nf', 'nu', 'pm', 'pn', 're', … (uppercase in the calendar directory). Their hover reads 'not a recognised country code', and the CSV country_iso3 is empty for va/ck/ai.","L2-directory-AX-tip-en.png, L13-src-country-filter-ar.png, extra/L5-coverage-map-en.png, res-L3.json, res-L5.json. Cause: src/catalog/countries.py:614-640 _ISO3_TO_2_TEXT, mirrored verbatim at src/static/app-core.js:64-81, lists only World Bank economies plus a few territories. The configs store ai ax bl bq bv cc ck cx eh fk gf gg gp hm io je mf mq ms nf pm re sh sj tk va wf yt, and none of them resolve. ooCountryCode (app-core.js:141-154) then returns the raw value, and ooCountryTitle returns the 'not a recognised' line.","src/catalog/countries.py:622-640 _ISO3_TO_2_TEXT, and its verbatim mirror at src/static/app-core.js:64-81, list only World Bank economies plus a few territories. 34 members of ISO_3166_1_ALPHA2 have no pair: ai aq ax bl bq bv cc ck cx eh fk gf gg gp gs hm io je mf mq ms nf nu pm pn re sh sj tf tk um va wf yt. For these, ooCountryCode (app-core.js:141-154) falls through to the raw value, ooCountryKind returns 'unresolved', and ooCountryTitle returns 'not a recognised country code'. On the server, country_display_code and country_payload_iso3 fall back the same way, so country_iso3 is empty.",Add the 34 pairs to BOTH texts in the same order: ala:ax aia:ai ata:aq atf:tf blm:bl bes:bq bvt:bv cck:cc cok:ck cxr:cx esh:eh flk:fk guf:gf ggy:gg glp:gp sgs:gs hmd:hm iot:io jey:je maf:mf mtq:mq msr:ms nfk:nf niu:nu spm:pm pcn:pn reu:re shn:sh sjm:sj tkl:tk umi:um vat:va wlf:wf myt:yt. That keeps the test_country_display parity test green. Also add one assertion that every ISO_3166_1_ALPHA2 member has an alpha-3 pair; it would have caught this gap.,P2
L,2,P2,confirmed,Insights > Map 'By country' table prints stored lowercase alpha-2 codes with no hover,L8,"Insights > Map, set Window to 3650, press Refresh, and read the first column of 'By country'.","Three-letter uppercase codes (BRA, CHN, DEU…), each with the localised name in the hover.","'br', 'cn', 'de', 'eg', 'es', 'fr', 'gb', 'mx', 'pt', 'ru', 'sa', 'us' as plain <strong> text with no title.","L8-insights-by-country-en.png. src/analytics/queries.py:3193-3197 emits {code: stored alpha-2}, and src/static/app-map.js:1676 prints esc(a.code||a.name) raw (ooCountryCell is used only on city rows).","src/static/app-map.js:1676 renders `<strong>${esc(a.code||a.name)}</strong>`. For a country row, a.code is the stored alpha-2 emitted by src/analytics/queries.py:3193-3197. The grep detectors in tests/test_alpha3_display_surfaces.py miss this site because they only look for .country/.jurisdiction fields, not .code.","At app-map.js:1676, render `<strong>${a.code ? ooCountryCell(a.code) : esc(a.name)}</strong>`, and add this site to the test's _SURFACES table.",P2
L,3,P3,confirmed,World coverage → Sources jump: the table is filtered to FRA but the Country filter shows 'Any' with nothing ticked,L5,"On a fresh page, open Library > World coverage and click the FRA code in the table.","Settings > Advanced > Sources opens with France pre-ticked in the Country filter, and the filter's label matches the filtered table.","The table shows '130 source(s)', FRA rows only, while the Country filter reads 'Any' and no checkbox is ticked (observed for 8 s, and again after opening the filter). The visible filter misstates what is displayed, and ticking another country would silently drop FRA.","L5-click-FRA-sources-state-en.png, res-L5b.json. Likely a race: openSourcesForKeyword (src/static/app-sources.js:579-590) ticks France after its own loadSrcFacets(). showTab('sources') → _openAdvanced('sources') (app-shell.js:109-111, 512-518) then fires the section's toggle loader (app-shell.js:478). That loader runs loadSrcFacets() again, which re-renders the list unticked and resets the summary to 'Any'.","openSourcesForKeyword (src/static/app-sources.js:580-588) ticks the country in the .then of its own loadSrcFacets(). showTab('sources') → _openAdvanced (src/static/app-shell.js:512-518) sets d.open=true, which fires the section's toggle loader (app-shell.js:478). That loader runs a second loadSrcFacets(), and its later response rebuilds the checklist through innerHTML (app-sources.js:326-343), unticked. updateMselSummary then resets the label to 'Any', after the FRA-filtered table request has already gone out.","Make loadSrcFacets idempotent across re-renders. Before each fill(), capture mselValues(id); after it, re-check those values and call updateMselSummary. (Alternatively, share one in-flight facets promise between the two callers.)",P2
L,4,P2,confirmed,The Manage sources filter row collapses at 375 px and the Country filter cannot be opened,L375,"At a 375x800 viewport, open Settings > Advanced > Sources and try to click the Country filter.","The filters wrap onto their own lines, the labels stay readable, and each control is clickable.","The Search box is 25 px wide. The Language/Country/Type/Tags controls overlap (x=71/95/118/142, 90 px each), and their labels print on top of each other ('LanguCountrTypeTags'). A click on Country is intercepted by the next control. There is no page-level horizontal scroll.","L375-sources-filters-closed-en.png, res-L375.json; markup at src/static/index.html:2498-2515 (a .row of flex children).","The phone-width override at src/static/app.css:1720 (`.row > div { min-width:0 }`) combines with `.row > div { flex:1 }` (app.css:440, flex-basis 0). Every wrapper therefore fits on one line and flex-wrap never wraps. `.msel > summary { min-width:90px }` (app.css:759-761) then overflows each ~13 px wrapper, and later siblings paint over it.","In the phone media block, give these wrappers a wrapping basis, for example `.row > div:has(> details.msel) { flex:1 1 130px; }`, or `.row > div { flex-basis:140px; }` while keeping min-width:0. The filters then wrap onto their own lines, and the page still never widens.",P2
L,5,P2,confirmed,The consent popup for 'Load standard country data' names no action,L11,"Governments > Countries > press 'Load standard country data', then 'Stay offline'.",Invariant #14: the one consent popup names the action ('This action needs the network: <action>').,"'This action needs the network:' is followed by an empty #net-consent-reason. Consent is still required, so this is not a consent breach, but the disclosure is missing. Outside row L.",L11-consent-load-standard-en.png; src/static/app-gov-law.js:599-601 calls ensureOnline() without a reason.,"src/static/app-gov-law.js:601 calls `ensureOnline()` with no argument, and src/static/app-core.js:1307 writes `reason` (undefined) into the <b>, which renders empty.","Change it to `ensureOnline(t(""Load standard country data from the World Bank (a background job)""))` and add that key in all 12 locales. Separately, app-map.js:2156 and app-settings.js:1614 pass untranslated literals instead of t(...).",P2
L,6,P3,confirmed,"The law-change briefing card prints the stored lowercase jurisdiction, on Home and in the bulletin",L12 L13,"With a flagged law revision whose jurisdiction is fr: read the Home briefing card, or build and open a Yearly draft in Settings > Advanced > Bulletin.","'Law changed (FRA): …' (code on screen with the name in the hover; name and code side by side in print), and no lowercase two-letter code in the bulletin.","'Law changed (fr): Walk Code civil (extract)' and 'Measured: … jurisdiction fr …', still in English in fr/ar/zh.","L13-home-law-card-fr.png, bulletin-doc.txt:254-258; src/briefing/producers.py:1468 builds title=f""Law changed ({doc.jurisdiction}): …"".","src/briefing/producers.py:1468 builds title=f""Law changed ({doc.jurisdiction}): …"" with the raw stored value and no title_i18n. The signal carries 'jurisdiction': doc.jurisdiction raw (line 1477), and src/bulletin/render.py:829-840 prints signal_pairs verbatim.","Use country_display_code(doc.jurisdiction) in the title, and make it translatable with title_i18n=""Law changed ({jurisdiction}): {title}"" plus title_vars, following the pattern at producers.py:295-299, with keys in all 12 locales. Put the display code (or an added jurisdiction_iso3) in the signal the bulletin prints.",P3
L,7,P3,confirmed,"The closed Sources filter label prints the stored value ('fr', 'en')",L3,Settings > Advanced > Sources: tick only France and close the Country filter; tick only English and close the Language filter.,'FRA' or 'France (FRA)'; 'eng' or 'English (eng)'.,'fr' and 'en'.,L3-country-filter-closed-en.png; src/static/app-sources.js:317-322 (updateMselSummary prints v[0]).,"src/static/app-sources.js:317-322: updateMselSummary sets sum.textContent to v[0], the raw checkbox value, when exactly one value is selected.","When one value is selected, print it through the same display helper as the checklist: ooCountryCode(v[0]) for src-msel-country and ooLangCode(v[0]) for src-msel-language. Other filters keep v[0].",P3
L,8,P3,confirmed,Governments > Groups computed refusal text lists members as stored lowercase alpha-2,L11,"Governments > Groups > Computed from members, Group 'Europe', Indicator population.","Member codes in alpha-3, like the 'missing:' line and the Range line next to it.","Each strategy reads '29 of 52 members did not report this indicator for this period (ad, ax, ba, bg, by, ee, fo, gg…)'. The text is English-only and exposes the parameter name 'allow_incomplete'.","extra/L11-groups-computed-europe-en.png, res-L11b.json; src/stats/aggregate.py:197-205 joins missing_value raw.",src/stats/aggregate.py:197-205 joins missing_value (stored alpha-2) raw into server-built English prose.,Join `country_display_code(c) for c in missing_value[:8]`. Also consider replacing the API parameter name 'allow_incomplete' in user-facing text.,P3
L,9,P3,confirmed,The Commodities > Minerals supply Area column prints USGS codes raw with no hover,L10,"With USGS MCS figures stored, open Commodities > Minerals supply.","USA/AUS/CHN with name hovers, and WLD disclosed as an aggregate.","'US', 'AU', 'CN' and 'WLD' as plain text with no title.",L10-minerals-supply-en.png; src/static/app-markets.js:488 prints esc(r.ref_area).,src/static/app-markets.js:488 renders `<td>${esc(r.ref_area)}</td>` without the country helper.,"Render `<td>${ooCountryCell(r.ref_area)}</td>`, with WLD labelled as an aggregate rather than 'not a recognised country code' (see the Governments aggregate finding).",P3
L,10,P3,confirmed,"The concept map and group chips show ISO 639-1 language codes, not 639-2/T",L8,Insights > Super-groups > Elections & democracy > voting.,Q306 display: 'ara · eng · spa …' with language-name hovers.,"'Languages: ar · en · es · pt · zh', 'By language: es 84 · en 47 …', and chips reading '(ar/bn/de/en/…)'.","L8-concept-map-en.png; src/static/app-insights.js:385-386, 493-501.","src/static/app-insights.js:385-386 joins r.languages raw into the chip, and app-insights.js:493-501 prints lg and d.languages raw. In the bulletin, src/bulletin/render.py:757 uses T.f(""lang {code}"", code=asserted[""language""]).","Use ooLangCode or ooLangCell for the chip, 'By language' and 'Languages' lines, and language_display_code() in render.py:757 (and in the 'detected {code}' line).",P3
L,11,P3,confirmed,"World coverage: the '(none)' row hovers 'not a recognised country code', the filter cannot find the code shown on screen, and 'Top country' shows an English name only",L5,"Library > World coverage: hover the first row, type DEU into the filter, and read 'Top country:' in fr/ar.","An absent country is labelled as absent, not as an unreadable code. Typing DEU finds Germany. 'Top country' shows the code, with the localised name in the hover.","'(none)' hovers 'not a recognised country code'. DEU gives 'No matching countries.'. 'Top country: United States — 239 sources, 4.9% of located within the 12% guard …' stays in English in every locale.","L5-first-row-tip-en.png, L5-filter-DEU-en.png, L6-DEU-tip-ar.png; src/analytics/source_country_rollup.py:73,85; src/static/app-sources.js:190-195, 203-206.","(1) src/analytics/source_country_rollup.py:73 emits the sentinel code '(none)', and app-sources.js:212 passes it to ooCountryCell, which classes it 'unresolved'. (2) app-sources.js:204-206 matches the query only against the stored alpha-2 and the server's English name. (3) app-sources.js:185-195 uses the English c.names in a literal English template with no t().","(1) Render the '(none)' row as an explicit 'no country recorded' label, e.g. ooCountryCell(c.code === ""(none)"" ? """" : c.code, {empty: t(""no country recorded"")}). (2) Also match ooCountryCode(c.code).toLowerCase() and the localised ooCountryName(c.code). (3) Render ooCountryCell(tc.code) inside a t()-keyed frame.",P3
L,12,P3,confirmed,The World map Coverage detail heading shows the code with no hover,L7,"World map > Coverage, click Germany.",Heading 'DEU' with the localised name in the hover (the Q302 pair the code comment claims).,<strong>DEU</strong> with no title.,L7-coverage-detail-DEU-en.png; src/static/app-map.js:1435-1442.,"src/static/app-map.js:1435-1442. `name = ooCountryCode(iso) || …` is inserted with esc() into a bare <strong>, so the Q302 hover the comment promises is never written.",Render `<strong>${ooCountryCell(iso)}</strong>`.,P3
L,13,P3,confirmed,"The non-ISO disclosure is missing or mislabelled on Governments surfaces (XKX, World Bank aggregates)",L11,Governments > Map (Population): hover Kosovo. Statistics > Map by country for NY.GDP.MKTP.CD as a level: hover WLD/HIC/EAS.,"Q303: XKX disclosed as 'not an ISO code', and a producer aggregate described as an aggregate rather than as an unreadable code.","'Kosovo — XKX · Kosovo: 1.9M' carries no disclosure, and WLD/HIC/EAS hover 'not a recognised country code'.","L11-statistics-level-table-en.png, res-L11.json; src/static/app-gov-law.js:587 valueLabel uses ooCountryName rather than ooCountryTitle; src/static/app-core.js:188-191.","src/static/app-gov-law.js:587: valueLabel uses ooCountryName(iso) instead of ooCountryTitle(iso). src/static/app-map.js:2313 passes aggregate ref_areas to ooCountryCell, and the client ooCountryKind (app-core.js) has only three states (iso, non-iso, unresolved), with no 'aggregate', although the server's classify_ref_area has one.","In app-gov-law.js:587 use ooCountryTitle(iso). For aggregates, carry the server's classification in the /api/stats/map cells (or a client aggregate list) and title them 'statistical aggregate — not a country' (a translated key) instead of 'not a recognised country code'.",P3
L,14,P3,confirmed,Stale on-screen hints still teach two-letter codes,L4 L11,Settings > Advanced > Sources > 'Import / export source list (CSV)'; the Governments > Statistics input boxes.,"The hint names country_iso3 and the accepted forms, and the placeholders use alpha-3 or a name.",The hint says 'Country is a 2-letter code.' and its column list lacks country_iso3; the placeholders read 'FR or all' and 'FR'.,"src/static/index.html:2529-2533, 891, 897.","src/static/index.html:2528-2533 (hint text), src/static/index.html:891 and 897 (placeholders). None was updated when src/catalog/csv_io.py gained country_iso3 and alpha-3 input.",Reword the hint to mention the export's country_iso3 column (read on import only as a cross-check) and to say Country accepts a 2- or 3-letter code or a name. Change the placeholders to 'FRA or all' and 'FRA'. Update the locale keys in all 12 languages.,P3
L,15,P3,confirmed,Governments > Law hovers keep the previous language after a language switch without a reload,L13,"With Governments > Law open in en, switch to fr/ar/zh from the top-bar menu and hover GBR/DEU/EUU without reloading.","Hover names in the new language, as World coverage now does.","The hovers read 'United Kingdom', 'Germany' and 'European Union — not an ISO code' until a reload.","'bare_switch_law' in res-L13-fr.json, res-L13-ar.json and res-L13-zh.json. Same frozen-locale family as the one the app-boot.js oo:langchange handler documents.","loadLawChanges and loadLawDocs (src/static/app-gov-law.js:684 and 769; cells at 711 and 778) bake the localised name into title at render time. The single oo:langchange listener at src/static/app-boot.js:41 does not re-run them, unlike World coverage.","In that ONE listener, re-render the law feed and table when they are already rendered, preferably from their cached payloads so a language switch fetches nothing (e.g. `if ($(""law-docs"") && $(""law-docs"").querySelector(""tr"")) { loadLawChanges(); loadLawDocs(); }`).",P3
